Wyniki eksperymentu.

wzrosty liniowe

Shell Sort dla danych: Losowe
n	Sredni Czas [s]	Odchylenie Std.
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00160556	0.00481668
2000	0.00000000	0.00000000
4000	0.00393348	0.00481657
8000	0.00473475	0.00255577
16000	0.01108048	0.00730797
32000	0.02340539	0.00691585
64000	0.04671547	0.00603076

Heap Sort dla danych: Rosnace
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00139591	0.00418773
2000	0.00157266	0.00471798
4000	0.00157312	0.00471936
8000	0.00518664	0.00718931
16000	0.00811482	0.00779005
32000	0.01892323	0.00685556
64000	0.04281955	0.00579647

Heap Sort dla danych: Malejace
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00000000	0.00000000
2000	0.00096268	0.00158363
4000	0.00372656	0.00483305
8000	0.00320166	0.00640350
16000	0.01153127	0.00617108
32000	0.02041162	0.00810003
64000	0.03924467	0.00773813

Heap Sort dla danych: A-ksztaltne
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00000000	0.00000000
2000	0.00020082	0.00060246
4000	0.00175609	0.00140660
8000	0.00317570	0.00635179
16000	0.01604059	0.00361547
32000	0.01895362	0.00772014
64000	0.04162922	0.00709924

Heap Sort dla danych: V-ksztaltne
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00020054	0.00060162
2000	0.00059336	0.00130668
4000	0.00282609	0.00459281
8000	0.00708286	0.00599270
16000	0.00958069	0.00782346
32000	0.02250569	0.00711857
64000	0.03985343	0.00796684

Quick Sort Iteracyjny dla danych: Losowe
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00161289	0.00483867
2000	0.00040165	0.00080330
4000	0.00158629	0.00412877
8000	0.00476361	0.00645446
16000	0.00790289	0.00790310
32000	0.01430054	0.00486128
64000	0.03095920	0.00423941

Quick Sort Iteracyjny dla danych: Rosnace
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00786923	0.00751327
2000	0.02675421	0.00721322
4000	0.09808743	0.00610266
8000	0.36880706	0.01156294
16000	1.34878679	0.01769730
32000	4.71932445	0.06616304
64000	16.12595972	0.08317215

Quick Sort Iteracyjny dla danych: Malejace
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00193939	0.00187879
2000	0.00982510	0.00690616
4000	0.04067291	0.00796950
8000	0.14766019	0.00628017
16000	0.53436536	0.01745322
32000	1.69891248	0.00943897
64000	4.65577061	0.04653711

Quick Sort Iteracyjny dla danych: A-ksztaltne
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00313688	0.00627376
2000	0.02201051	0.00770765
4000	0.08210162	0.00615842
8000	0.32855175	0.01001427
16000	1.30995645	0.01380854
32000	5.29325019	0.07741960
64000	21.26166306	0.27552925

Quick Sort Iteracyjny dla danych: V-ksztaltne
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00156799	0.00470397
2000	0.00785488	0.00785489
4000	0.02512536	0.00768996
8000	0.08192810	0.01834479
16000	0.32380492	0.05246604
32000	1.33836755	0.26552748
64000	4.59889893	0.65062504
